type,char,group,def,pinyin
嚴式,苩,客,～子：蕌頭,于都=ʨ ̕iɔ˧˩
嚴式,㫘,平,凹陷下去，縮進去,临桂=mi˥
嚴式,矸,閩,瓶子,廈門=kan˥
嚴式,,官,～臉：剃去臉上的鬍鬚、汗毛,南通=kuõ˦˨
嚴式,䀐,閩,很快地看一下,廈門=siam˥
嚴式,𥄫,粵,緊盯：～住個扒手,廣州=kɐp˨
嚴式,咑,"贛,閩,吳",①表示疑問，是嗎？ ②嗩吶：咑～；③該～：這裏,黎川=·ta;福州=ta˥;丹陽=tɑ˧;瀏陽=ta˨˦
嚴式,咁,粵,指示代詞（程度），放在形容詞前，相當於“這麼”或“那麼”,廣州=kɐm˧;東莞=kɐm˧˨
嚴式,呭,粵,（小孩）多嘴胡說,廣州=iɐi˨˧
嚴式,咗,粵,助詞。置於動詞、形容詞之後表示完成,廣州=ʦɔ˧˥
嚴式,𪰍,平,中午：～食（中午；午餐）｜～食邊（近中午時）,寧遠=təu˥˧
嚴式,㕷,官,吃酒席,柳州=pə
嚴式,呤,粵,1 ～口：房檐兒,東莞=zɐm˨˩
嚴式,呤,官,2 精光：～打光,柳州=lən˦
嚴式,𠰻,"官,晉",“未個”的合音，那，指示比較遠的人或事物,萬榮=uɤ˧;太原=vai˦˥;忻州=væ˥˧
嚴式,峁,晉,①圪～：小丘陵；②～底：地名,娄煩=mɔu;交城=mɔu˥˧
嚴式,𤆬,閩,引導；带領,廈門=ʦ̕ua˩
嚴式,𬌜,閩,～牛：黄牛,雷州=sa˨˦
嚴式,㑋,吳,青少年,溫州=ʨ ̕yoŋ˦˨
嚴式,㑚,官,1 是“人家”的合音，代詞,烏魯木齊=ȵia˥˩，ʐɣŋ˥˩ ˦•ʨia
嚴式,㑚,"閩,吳",2 ①你們；②抬頭；③副詞。相當于“仅、只”,福州=nɑ;上海=nᴀ˨˧;溫州=niɛ˧˩
嚴式,𤓷,贛,攀援,萍乡=la˦
嚴式,䏘,"吳,湘,徽",女陰,金華=p ̕iəʔ˦;寧波=p ̕iɪʔ˥;韶山=p£i˨˧;績溪=p ̕ieʔ˧˨;歙縣=p ̕i˥
嚴式,䏒,吳,整豬一開為二，一個半邊豬,無錫=p ̕iɪ˦˨˦，p ̕ie˦˨˦
嚴式,㓢,吳,切割長的圓筒狀的東西,溫州=lo˨˩˨
嚴式,,閩,冷，凉,雷州=t ̕iau˨˦
嚴式,𢇳,贛,睜大眼睛,宿松=kuaŋ˨˩
嚴式,𤆤,閩,炖,廈門=tim˩
嚴式,𤆺,官,①一種烹調法，將食物放入鍋內，加少量水，緊蓋鍋蓋，用小火燜，直到燜熟；②濕度大，氣溫高，不透氣,成都=k̕oŋ˥˧;四川=konɡ˧
嚴式,泹,官,做豆花等用的鹵水：～水,成都=tan˥˧
嚴式,沊,粵,東西落水聲,廣州=tam˧
嚴式,𢏆,閩,①點（頭）；②低（頭）,建甌=ku˥
嚴式,乸,粵,①雌性，母的；②母親，媽（不能單用）；③大個兒的,廣州=na˧˥;東莞=na˧˥
嚴式,妰,閩,人的泛稱：～娝（女人）,海口=tɔu˧;雷州=ʦa˧
嚴式,𡛴,閩,嬉笑，開玩笑,建甌=t ̕ia˧
